codocorren,data,hora,mes,diaSemana,tipo,viaA,viaB,tipoenvolv,tipoAutomo,genero,idade,embriagado,vitima,obito,habilitado,ciclo,pavimentac,viaACod,viaATotal,viaAFxRola,viaBCod,viaBtotal,viaBFxRola,bairro,zona,longX,latY,intersecao,intersecaoCodA,intersecaoCodB,intersecaolongx,intersecaolaty,intersecaoCiclo
2019-500,2019-02-20,20:32,Fevereiro,quarta-feira,queda,Av.Dr.Reinaldo Schmithausen,,veículo,Motocicleta,masc.,23,0,1,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71940381,-26.89070842,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-492,2019-02-27,17:50,Fevereiro,quarta-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo,veículo","Automóvel,Caminhão Trator,Semireboque",masc.,58,0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71962561,-26.89063251,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-979,2019-04-04,12:45,Abril,quinta-feira,queda,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Motoneta,Caminhão",fem.,48,0,1,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71893283,-26.8908712,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-840,2019-04-05,18:30,Abril,sexta-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Automóvel,Caminhão Trator",masc.,43,0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.7201233,-26.89041738,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-850,2019-04-09,07:30,Abril,terça-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Caminhonete,Caminhonete","masc.,masc.","59,33",0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71899071,-26.89087621,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-427/448,2019-02-20,07:45,Fevereiro,quarta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Onildo Reis,"veículo,veículo","Automóvel,Motoneta","fem.,fem.","22,22",0,0,0,1,compartilhado,Asfalto,1111,27,14,1361,13,8,Cordeiros,Área Urbana,-48.71576145,-26.89156896,R.Onildo Reis-Av.Dr.Reinaldo Schmithausen,1361,1111,-48.71534295011526,-26.891426277258564,ciclovia
2019-1003,2019-04-27,20:10,Abril,sábado,abalroamento,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo,veículo","Automóvel,Caminhão Trator,Semireboque","masc.,masc.,masc.","48,33,33",0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71502056,-26.89131362,R.Onildo Reis-Av.Dr.Reinaldo Schmithausen,1361,1111,-48.71534295011526,-26.891426277258564,ciclovia
2019-71/72,2019-01-10,21:00,Janeiro,quinta-feira,colisão,R.Francisco Reis,Av.Dr.Reinaldo Schmithausen,"veículo,veículo","Automóvel,Caminhão Trator","masc.,masc.","38,58",0,0,0,1,compartilhado,Asfalto,1177,20,14,1111,27,14,Cordeiros,Área Urbana,-48.71079752,-26.89040307,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-508,2019-02-28,19:30,Fevereiro,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo","Automóvel,Automóvel","masc.,masc.","48,48",0,0,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71087377,-26.89043287,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-639,2019-03-16,16:40,Março,sábado,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo","Motoneta,Automóvel","fem.,masc.","45,34",0,0,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71078399,-26.89030463,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
