"","codocorren","data","hora","mes","diaSemana","tipo","viaA","viaB","tipoenvolv","tipoAutomo","genero","idade","embriagado","vitima","obito","habilitado","ciclo","pavimentac","viaACod","viaATotal","viaAFxRola","viaBCod","viaBtotal","viaBFxRola","bairro","zona","longX","latY","intersecao","intersecaoCodA","intersecaoCodB","intersecaolongx","intersecaolaty","intersecaoCiclo"
"21","2019-492",2019-02-27,"17:50","Fevereiro","quarta-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Automóvel","masc.","58",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71962561,-26.89063251,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"22","2019-492",2019-02-27,"17:50","Fevereiro","quarta-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Caminhão Trator","","",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71962561,-26.89063251,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"23","2019-492",2019-02-27,"17:50","Fevereiro","quarta-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Semireboque","","",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71962561,-26.89063251,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"3","2019-979",2019-04-04,"12:45","Abril","quinta-feira","queda","Av.Dr.Reinaldo Schmithausen","","veículo","Motoneta","fem.","48",0,1,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71893283,-26.8908712,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"31","2019-979",2019-04-04,"12:45","Abril","quinta-feira","queda","Av.Dr.Reinaldo Schmithausen","","veículo","Caminhão","","",0,1,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71893283,-26.8908712,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"4","2019-840",2019-04-05,"18:30","Abril","sexta-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Automóvel","masc.","43",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.7201233,-26.89041738,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"41","2019-840",2019-04-05,"18:30","Abril","sexta-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Caminhão Trator","","",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.7201233,-26.89041738,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"5","2019-850",2019-04-09,"07:30","Abril","terça-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Caminhonete","masc.","59",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71899071,-26.89087621,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"51","2019-850",2019-04-09,"07:30","Abril","terça-feira","colisão","Av.Dr.Reinaldo Schmithausen","","veículo","Caminhonete","masc.","33",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",NA,"","","Cordeiros","Área Urbana",-48.71899071,-26.89087621,"Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen",1175,1111,-48.7195126259056,-26.8906884917627,"ciclovia"
"6","2019-427/448",2019-02-20,"07:45","Fevereiro","quarta-feira","colisão","Av.Dr.Reinaldo Schmithausen","R.Onildo Reis","veículo","Automóvel","fem.","22",0,0,0,1,"compartilhado","Asfalto",1111,"27","14",1361,"13","8","Cordeiros","Área Urbana",-48.71576145,-26.89156896,"R.Onildo Reis-Av.Dr.Reinaldo Schmithausen",1361,1111,-48.7153429501153,-26.8914262772586,"ciclovia"
